query;docId1;title1;docId2;title2;docId3;title3;docId4;title4;docId5;title5;docId6;title6;docId7;title7;;
"demissão ""empregado pública"" ""reintegração"" ""competência"" ""justiça do trabalho"" ""justiça comum""";1115807658;RE 710293;;;;;;;;;;;;;;
"depósito recursal ""requisito de admissibilidade"" ""recurso extraordinário"" ""Justiça do Trabalho"" ";865478004;RE 607447;;;;;;;;;;;;;;
"diferença de tratamento ""empresas públicas e sociedades de economia mista"" ""empresas privadas"" ""pis/pasep""";862494461;RE 577494;;;;;;;;;;;;;;
"direito de compensação ""prejuízos fiscais IRPJ"" ""base de cálculo negativa CSLL""";861675370;RE 591340;;;;;;;;;;;;;;
"direitos dos servidores públicos efetivos ""extensão"" ""servidores e empregados temporários""";1105648729;RE 1066677;1289712179;STF 013;;;;;;;;;;;;
"direitos dos servidores públicos efetivos ""requisitos"" ""extensão"" ""contratação temporária""";1105648729;RE 1066677;;;;;;;;;;;;;;
"Direitos trabalhistas ""Empregados de empresa pública tomadora de serviços""";1210659157;RE 635546;;;;;;;;;;;;;;
"dispensa de concurso público ""aglutinação de cargos"" ""reestruturação de quadro funcional"" ""responsabilidades diferentes"" ""constitucionalidade""";865626487;RE 642895;;;;;;;;;;;;;;
"dosimetria ""maus antecedentes"" ""condenações anteriores"" ""há mais de cinco anos""";1129516212;RE 593818;;;;;;;;;;;;;;
"energia elétrica ""icms""";865368309;RE 593824;924418699;RE 748543;1289710963;STJ 391;;;;;;;;;;
"estabilidade provisória ""gestante"" ""desconhecimento da gravidez pelo empregador""";768165990;RE 629053;;;;;;;;;;;;;;
"Estados e Distrito Federal ""titularidade"" ""Imposto de Renda"" ""incidente na fonte""";1218981229;RE 607886;1289711027;STJ 447;;;;;;;;;;;;
"execução contra a fazenda pública ""precatórios"" ""conversão"" ""rpv""";768175163;RE 587982;;;;;;;;;;;;;;
"execução de contribuições previdenciárias ""competência"" ""Justiça do Trabalho"" ""sentenças anteriores à EC 20/98""";928283274;RE 595326;;;;;;;;;;;;;;
"execução extrajudicial de dívidas hipotecárias ""regime do Sistema Financeiro de Habitação""";1231415627;RE 627106;;;;;;;;;;;;;;
"execução extrajudicial ""dívida hipotecária""";1231415627;RE 627106;;;;;;;;;;;;;;
"execução ""contribuições previdenciárias"" ""sentenças proferidas em data anterior à EC n. 20/98"" ""competência""";928283274;RE 595326;;;;;;;;;;;;;;
"fabricação de embalagens para produtos exportados ""imunidade"" ""ICMS"" ""aplicação""";939942654;RE 754917;;;;;;;;;;;;;;
"fornecimento de medicamentos ""aprovação da ANVISA pendente"" ""possibilidade""";311629411;RE 657718;;;;;;;;;;;;;;
"gestante ""rescisão imotivada"" ""indenização devida"" ""gravidez desconhecida pelo empregador""";768165990;RE 629053;;;;;;;;;;;;;;
"hipótese de transferência ex officio de servidor ""matrícula em instituição pública""";862248643;RE 601580;;;;;;;;;;;;;;
"ICMS ""antecipação sem substituição tributária"" ""necessidade de lei"" ""princípio da legalidade""";1203240784;RE 598677;;;;;;;;;;;;;;
"ICMS ""cobrança antecipada"" ""diferença entre alíquota interna e interestadual"" ""decreto"" ""princípio da reserva legal""";1203240784;RE 598677;;;;;;;;;;;;;;
"ICMS ""estorno proporcional"" ""crédito presumido no estado de origem"" ""ausência de autorização do CONFAZ"" ";937229088;RE 628075;;;;;;;;;;;;;;
"ICMS ""imunidade"" ""exportação"" ""extensão"" ""cadeia de produção""";939942654;RE 754917;;;;;;;;;;;;;;
"ICMS ""Inaplicabilidade da anterioridade nonagesimal""";861955864;RE 603917;1100294617;RE 601967;;;;;;;;;;;;
"ICMS ""princípio da não cumulatividade"" ""estorno"" ""creditação"" ""benefício fiscal concedido unilateralmente"" ""CONFAZ""";937229088;RE 628075;;;;;;;;;;;;;;
"ICMS ""sujeito ativo"" ""mercadoria importada"" ""industrializada em outro estado"" ""causa da circulação""";865368312;ARE 665134;;;;;;;;;;;;;;
"iluminação pública ""custeio"" ""melhoramento"" ""expansão"" ""recursos""";1100297265;RE 666404;;;;;;;;;;;;;;
"IMPOSTO DE RENDA ""CONTRATOS DE SWAP PARA FINS DE HEDGE""";1234143637;RE 1224696;;;;;;;;;;;;;;
"imposto de renda ""resultados financeiros"" ""liquidação de contratos de swap para fins de hedge""";1234143637;RE 1224696;;;;;;;;;;;;;;
"imposto sobre produtos industrializados ""valores pré-fixados""";1107714925;RE 602917;;;;;;;;;;;;;;
"Imposto Sobre Serviços de Qualquer Natureza ""incidência"" ""contrato de franquia""";865442290;RE 603136;;;;;;;;;;;;;;
"imunidade relativa ao ICMS ""alcance"" ""todas as operações"" ""somente operação de exportação"" ";939942654;RE 754917;;;;;;;;;;;;;;
"imunidade tributária ""atividades desempenhadas"" ""sociedade de economia mista"" ""participação acionária em bolsa de valores""";936229921;RE 600867;;;;;;;;;;;;;;
"imunidade tributária ""empresas"" ""simples nacional""";1139984777;RE 598468;;;;;;;;;;;;;;
"imunidade tributária ""receitas da exportação"" ""simples""";1139984777;RE 598468;;;;;;;;;;;;;;
"imunidade ""entidades sindicais"" ""IOF""";1220240356;RE 611510;;;;;;;;;;;;;;
"imunidade ""imposto sobre operações financeiras"" ""IOF""";1220240356;RE 611510;;;;;;;;;;;;;;
"incidência do teto constitucional remuneratório e ""acumulação de proventos e pensão""";1129612723;RE 602584;;;;;;;;;;;;;;
"incidente ""arguição de inconstitucionalidade"" ""reserva de plenário"" ""necessidade"" ""terceirização""";768165943;ARE 791932;768163352;RE 958252;;;;;;;;;;;;
"Inconstitucionalidade ""IPTU"" ";862114350;RE 1171699;865637002;RE 666156;1289712787;STF 604;1289712722;STF 539;;;;;;;;
"inconstitucionalidade ""resolução"" ""Comitê Gestor do Programa de Recuperação Fiscal"" ""notificação prévia"" ""exclusão do Refis""";1129501342;RE 669196;;;;;;;;;;;;;;
"indenização ""não encaminhamento"" ""projeto de lei"" ""reajuste anual dos vencimentos de servidores públicos""";861790715;RE 565089;;;;;;;;;;;;;;
"indústrias rurais ""agroindústrias"" ""contribuição"" ""INCRA"" ""constitucionalidade""";1206573208;RE 630898;;;;;;;;;;;;;;
"inscrição ""siafi/cadin"" ""contraditório"" ""ampla defesa""";1107718194;RE 1067086;;;;;;;;;;;;;;
"inscrição ""siafi/cadin"" ""tomada de contas especial""";1107718194;RE 1067086;;;;;;;;;;;;;;
"IOF ""aplicações financeiras"" ""partidos políticos""";1220240356;RE 611510;;;;;;;;;;;;;;
"IPI ""alíquota zero"" ""acondicionamento de bens essenciais"" ""seletividade""";1242300655;RE 606314;;;;;;;;;;;;;;
"IPI ""base de cálculo"" ""valor da operação"" ""constitucionalidade""";1107714925;RE 602917;;;;;;;;;;;;;;
"IPI ""insumos"" ""zona franca de manaus""";768177304;RE 592891;;;;;;;;;;;;;;
"IPTU ""alíquotas diferenciadas"" ""imóveis edificados e não edificados"" ""imóveis residenciais e não residenciais"" ""constituicionalidade"" ";865637002;RE 666156;;;;;;;;;;;;;;
"IPVA ""imunidade tributária recíproca"" ""veículo"" ""aquisição por Município"" ";1105665220;RE 727851;;;;;;;;;;;;;;
"IPVA ""recolhimento"" ""estado diverso"" ""domicílio tributário"" ""constitucionalidade""";1153356697;RE 1016605;;;;;;;;;;;;;;
"ISS ""incidência"" "" atividade de exploração de jogos e apostas"" ""constitucionalidade"" ""base de cálculo""";1105651318;RE 634764;;;;;;;;;;;;;;
"Justiça comum ""conflito de interesses"" ""incidência de contribuição previdenciária"" ""complementação de proventos""";768158646;RE 594435;;;;;;;;;;;;;;
"legalidade ""ato administrativo"" ""Tribunal de Contas"" ""prazo decadencial""";860689925;RE 636553;;;;;;;;;;;;;;
"legitimidade ""cláusula de edital"" ""concurso público"" ""candidato"" ""responder a inquérito""";919837487;RE 560900;;;;;;;;;;;;;;
"legitimidade ""Ministério Público"" ""ação coletiva"" ""nulidade de ato administrativo"" ""lesão ao patrimônio público""";1105676204;RE 409356;1289710898;STJ 329;;;;;;;;;;;;
"lei local ""coibição de fraude"" ""transporte público coletivo"" ""pagamento de multa"" ""condição para liberação de veículo"" ""constitucionalidade""";853422463;RE 661702;;;;;;;;;;;;;;
"leiloeiro ""habilitação"" ""necessidade de fiança"" ""caução real"" ""possibilidade""";1112953068;RE 1263641;;;;;;;;;;;;;;
"leis municipais ""imposição"" ""obrigação de prestação de serviços"" ""acondicionamentou ou embalagem de compras"" ""supermercados"" ""constitucionalidade""";862281479;RE 839950;;;;;;;;;;;;;;
"limite ""suspensão do prazo prescricional"" ""citação por edital"" ""pena em abstrato""";1170062282;RE 600851;;;;;;;;;;;;;;
"loteamento imobiliário urbano ""cobrança"" ""taxas"" ""proprietários não associados""";1194722389;RE 695911;;;;;;;;;;;;;;
"magistrados aposentados ""recebimento de adicional de 20%"" ""subsídio remuneratório"" ""inconstitucionalidade""";939942652;RE 597396;;;;;;;;;;;;;;
"Mandado de segurança ""Autorização para realização de etapa de concurso público em horário diverso"" ""Crença religiosa""";1192153598;RE 611874;;;;;;;;;;;;;;
"militar inativo ""contribuição previdenciária""";1105639995;RE 596701;;;;;;;;;;;;;;
"modificação ""nível de escolaridade de cargo público"" ""aproveitamento de servidor"" ""equivalência salarial"" ""sem concurso público"" ""constitucionalidade""";1193310547;RE 740008;;;;;;;;;;;;;;
"modificações ""base de cálculo"" ""alíquota do PIS"" ""Fundo Social de Emergência"" ""constitucionalidade"" ";768159236;RE 578846;;;;;;;;;;;;;;
"natureza ""controle externo"" ""tribunais de contas estaduais"" ""atos administrativos"" ""municípios""";865397317;RE 576920;;;;;;;;;;;;;;
"obrigação de exibição de filmes nacionais ""cinemas"" ""constitucionalidade"" ""sanções administrativas""";1217066360;RE 627432;;;;;;;;;;;;;;
"operação interestadual ""fornecimento de energia elétrica"" ""cobrança de ICMS"" ""estado de origem"" ""possibilidade""";924418699;RE 748543;;;;;;;;;;;;;;
"participação em concurso público ""candidato que responde a processo criminal""";919837487;RE 560900;;;;;;;;;;;;;;
"penalidade ""suspensão da habilitação"" ""motorista profissional"" ""homicídio culposo no trânsito"" ""constitucionalidade""";860712652;RE 607107;;;;;;;;;;;;;;
"Pensão por morte ""ex-servidor público"" ""requisitos diferentes"" ""homens e mulheres"" ""princípio da isonomia"" ""inconstitucionalidade""";1132137888;RE 659424;;;;;;;;;;;;;;
"pensão por morte ""ex-servidores públicos"" ""rio grande do sul"" ""requisitos"" ""cônjuge do sexo masculino""";1132137888;RE 659424;;;;;;;;;;;;;;
"pensão por morte ""requisitos"" ""cônjuge de ex-servidor público"" ""homem"" ""mulher"" ""isonomia""";1132137888;RE 659424;;;;;;;;;;;;;;
"pessoa jurídica de direito privado ""poder de polícia"" ""delegação por lei"" ""constitucionalidade""";1131242630;RE 633782;;;;;;;;;;;;;;
"pessoas juridicas ""domicílio no exterior"" ""vedação"" ""creditamento de PIS"" ""constitucionalidade""";919834721;RE 698531;;;;;;;;;;;;;;
"PIS ""base de cálculo"" ""exclusão valores"" ""pessoas jurídicas"" ""domiciliadas"" ""exterior"" ""constitucionalidade""";919834721;RE 698531;;;;;;;;;;;;;;
"PIS/COFINS ""Sistema FUNDAP/ES"" ";865387342;RE 635443;;;;;;;;;;;;;;
"PIS/PASEP ""cumulatividade das contribuições incidentes sobre o faturamento""";1119123695;RE 607642;;;;;;;;;;;;;;
"pis/pasep ""seletividade no financiamento"" ""seguridade social""";862494461;RE 577494;;;;;;;;;;;;;;
"plano de previdência complementar ""mulheres"" benefício inferior"" ""nulidade""";1101522997;RE 639138;;;;;;;;;;;;;;
"planos de saúde ""lei nova"" ""contrato antigo"" ";1126752361;RE 948634;;;;;;;;;;;;;;
"prazo prescricional ""citação por edital"" ""suspensão do processo"" ""limite"" ""pena máxima em abstrato""";1170062282;RE 600851;;;;;;;;;;;;;;
"prazo ""oposição de embargos à execução"" ""Fazenda Pública""";862030026;RE 590871;1289712452;STF 277;;;;;;;;;;;;
"Precatório ""STF""";865478009;RE 631537;768175163;RE 587982;922891039;RE 612707;1289712452;STF 277;1289712974;SV 17;;;;;;
"prefeitos ""improbidade administrativa"" ""crime de responsabilidade"" ""julgamento e processamento"" ""independentes""";768217700;RE 976566;1289712886;STF 703;1289710774;STJ 209;;;;;;;;;;
"prefeitos ""julgamento e processamento"" ""improbidade administrativa"" ""crime de responsabilidade""";768217700;RE 976566;1289710664;STJ 104;1289710773;STJ 208;;;;;;;;;;
"previdência complementar ""benefício inferior para mulheres"" ""tempo de contribuição"" ""legalidade""";1101522997;RE 639138;;;;;;;;;;;;;;
"previdência complementar ""princípio da isonomia"" ""mulheres"" ""benefício inferior""";1101522997;RE 639138;;;;;;;;;;;;;;
"princípio da não cumulatividade ""ICMS"" ""princípio da anterioridade nonagesimal"" ""tributos""";1100294617;RE 601967;;;;;;;;;;;;;;
"processo suspenso ""citação"" ""edital"" ""prazo prescricional"" ""limite"" ""pena""";1170062282;RE 600851;;;;;;;;;;;;;;
"procuradores municipais ""remuneração"" ""teto"" ";768173459;RE 663696;;;;;;;;;;;;;;
"procuradores municipais ""teto remuneratório"" ""Ministros do Supremo Tribunal Federal""";768173459;RE 663696;;;;;;;;;;;;;;
"produtor rural ""segura especial"" ""economia familiar"" ""sem empregados permantentes"" ""contribuição"" ""constitucionalidade""";1105639996;RE 761263;;;;;;;;;;;;;;
"produtor rural ""seguridade social"" ""economia familiar"" ""contribuição"" ""receita bruta proveniente da comercialiaçao de produção""";1105639996;RE 761263;;;;;;;;;;;;;;
"profissão de leiloeiro ""exigência de garantia"" ""consitucionalidade"" ";1112953068;RE 1263641;;;;;;;;;;;;;;
"profissão ""leiloeiro"" ""necessidade de caução"" ""dinheiro ou apólice"" ""caução real"" ""vedação""";1112953068;RE 1263641;;;;;;;;;;;;;;
"promulgação parcial de lei ""parte vetada"" ""derrubada pelo Poder Legislativo"" ""após publicação de parte incontroversa"" ""constitucionalidade""";1131263828;RE 662423;;;;;;;;;;;;;;
"quebra ordem cronológica"" ""pagamento de precatórios alimentares"" ""sequestro de recursos públicos"" ""possibilidade""";922891039;RE 612707;;;;;;;;;;;;;;
"recebimento de salário-família ""direito adquirido"" ""servidor público"" ""EC n. 20/1998""";919853641;RE 657989;;;;;;;;;;;;;;
"reconhecimento dos maus antecedentes ""prazo quinquenal"" ""prescrição da reincidência""";1129516212;RE 593818;;;;;;;;;;;;;;
"Refis ""exclusão do contribuinte"" ""necessidade de notificação""";1129501342;RE 669196;;;;;;;;;;;;;;
"relação jurídica ""representantação comercial"" ""relação de emprego"" ""inexistência"" ""competência""";945641846;RE 606003;;;;;;;;;;;;;;
"remuneração ""proventos"" ""pensão""";1129612723;RE 602584;768158646;RE 594435;1105639995;RE 596701;1115807658;RE 710293;;;;;;;;
"reserva de lei complementar ""repasse"" ""PIS e CONFINS"" ""faturas telefônicas""";861892747;RE 1053574;;;;;;;;;;;;;;
"reserva de norma constitucional ""direito à compensação de créditos do ICMS""";1100294617;RE 601967;;;;;;;;;;;;;;
"Responsabildiade civil do Estado ""Fogos de artifício"" ""Violção de um dever jurídico específico de agir""";919850145;RE 136861;;;;;;;;;;;;;;
"responsabilidade civil do Estado ""danos decorrentes de crime praticado por preso foragido""";937121506;RE 608880;;;;;;;;;;;;;;
"ressarcimento sus ""operadoras de planos de saúde"" ""constitucionalidade""";768110451;RE 597064;;;;;;;;;;;;;;
"Restituição de valores ""PIS e COFINS"" ""regime de substituição tributária""";1108020506;RE 596832;;;;;;;;;;;;;;
"revisão geral anual ""remuneração dos servidores públicos"" ""fixação de índice de correção"" ""competência"" ""poder judiciário""";1115796198;RE 843112;;;;;;;;;;;;;;
"revisão geral anual ""remuneração"" ""servidores públicos"" ""intervenção"" ""poder judiciário"" ""Possibilidade""";1115796198;RE 843112;;;;;;;;;;;;;;
"salário-família ""direito adquirido"" ""relações jurídicas existentes antes da EC n.20/98""";919853641;RE 657989;;;;;;;;;;;;;;
"salário-maternidade ""base de cálculo"" ""contribuição previdenciária""";1107714916;RE 576967;;;;;;;;;;;;;;
"seletividade do IPTU ""leis municipais anteriores à EC nº 29/2000"" ""constitucionalidade""";865637002;RE 666156;1289712851;STF 668;;;;;;;;;;;;
"serviços de comunicação ""inadimplência absoluta"" ""compensação de ICMS"" ""possibilidade""";1220081534;RE 1003758;;;;;;;;;;;;;;
"servidor público de fundações ""regime jurídico"" ""estabilidade excepcional"" ""aplicabilidade""";1105646168;RE 716378;;;;;;;;;;;;;;
"servidor público ""estabilidade expecional"" ""transição do regime constitucional"" ""fundações"" ""aplicação""";1105646168;RE 716378;;;;;;;;;;;;;;
"sociedade de economia mista ""bolsa de valores"" ""remuneração do capital de acionistas"" ""imunidade tributária"" ""possibilidade""";936229921;RE 600867;;;;;;;;;;;;;;
"STF ""desconstituição de título executivo judicial""";768161704;RE 611503;;;;;;;;;;;;;;
"STF ""ICMS"" ""Inaplicabilidade da anterioridade nonagesimal""";861955864;RE 603917;1100294617;RE 601967;;;;;;;;;;;;
"STF ""importação por encomenda"" ";865387342;RE 635443;1125525031;RE 946648;1231349114;RE 979962;;;;;;;;;;
"STF ""Inconstitucionalidade"" ""IPTU"" ";862114350;RE 1171699;865637002;RE 666156;1289712772;STF 589;1289712851;STF 668;;;;;;;;
"STF ""titularidade"" ""imposto de renda""";1218981229;RE 607886;;;;;;;;;;;;;;
"sujeito ativo da obrigação tributária ""ICMS"" ""mercadoria importada"" ""destinatário legal da operação""";865368312;ARE 665134;;;;;;;;;;;;;;
"terceirização de serviços ""atividade-fim"" ""licitude"" ";768163352;RE 958252;768165943;ARE 791932;;;;;;;;;;;;
"teto constitucional ""pensão"" ""remuneração ou provento"" ""acumulação"" ""alcance""";1129612723;RE 602584;;;;;;;;;;;;;;
"titularidade ""imposto de renda""";1218981229;RE 607886;1289710827;STJ 262;1289711201;STJ 598;;;;;;;;;;
"titularidade ""Imposto de Renda"" ""complementação de aposentadoria paga por autarquia estadual""";1218981229;RE 607886;;;;;;;;;;;;;;
"trabalhador portuário avulso ""adicional de risco""";1109372083;RE 597124;;;;;;;;;;;;;;
"tribunal de contas do estado ""competência técnica"" ""poder legislativo""";865397317;RE 576920;;;;;;;;;;;;;;
"união estável ""preexistente"" ""novo vínculo"" ""impossibilidade"" ""rateio"" ""pensão por morte""";1191563664;RE 1045273;;;;;;;;;;;;;;
"união estável ""relação homoafetiva"" ""concomitantes"" ""reconhecimento jurídico"" ""impossibilidade""";1191563664;RE 1045273;;;;;;;;;;;;;;
5º, LV, da CF e art. 1 da Resolução CG/REFIS/20/2001;1129501342;RE 669196;;;;;;;;;;;;;;
Abusividade de cláusulas em contratos bancários;656186430;REsp 1578553 SP;;;;;;;;;;;;;;
ação anulação de multa DNIT;565539254;REsp 1588969 RS;565539253;REsp 1613733 RS;;;;;;;;;;;;
ação civil pública;1231349116;RE 1101937;1105676204;RE 409356;862232682;RE 605533;773748871;RE 643978;1289712851;STF 668;1289711078;STJ 489;;;;
ação civil pública. capacidade processual. consumidores;1213618997;REsp 1438263 SP;1213618993;REsp 1362022 SP;N/A;REsp 1361872 SP;;;;;;;;;;
ação civil pública. consumidores;1213618997;REsp 1438263 SP;1231349116;RE 1101937;1213618993;REsp 1362022 SP;N/A;REsp 1361872 SP;;;;;;;;
ação civil pública. fornecimento de remédios;862232682;RE 605533;;;;;;;;;;;;;;
ação consignatória. depósito insuficiente;641240998;REsp 1108058 DF;;;;;;;;;;;;;;
ação contra empregador. previdência privada;613779818;REsp 1312736 RS;1289710855;STJ 290;;;;;;;;;;;;
ação de complementação de aposentadoria paga pela Administração Pública. competência;868167399;RE 1265549;;;;;;;;;;;;;;
ação de concessão de benefício complementar;607426701;REsp 1370191 RJ;613779818;REsp 1312736/RS;706915852;REsp 1435837/RS;;;;;;;;;;
ação de consignação em pagamento;641240998;REsp 1108058 DF;;;;;;;;;;;;;;
ação de consignação. pagamento parcial da dívida;641240998;REsp 1108058 DF;;;;;;;;;;;;;;
ação de desapropriação;1206232425;Pet 12344 DF;1205802192;REsp 1750660/SC;1289712332;STF 164;1289710694;STJ 131;1344677895;REsp 1750624/SC;;;;;;
ação de desapropriação indireta;1205802192;REsp 1750660 SC;1289710681;STJ 119;1344677895;REsp 1750624/SC;;;;;;;;;;
ação de exibição de documentos com multa;1240175084;REsp 1763462 MG;1240176405;REsp 1777553 SP;;;;;;;;;;;;
ação de indenização por danos morais violência doméstica;554473137;REsp 1643051 MS;554473136;REsp 1675874 MS;;;;;;;;;;;;
